name,category,start,end,cost,mid,year,display_name
Midwest/ Plains Severe Weather,severe-storm,2003-07-04,2003-07-09,1.2,2003-07-06,2003,Midwest/Plains Severe Weather
Western Wildfires,drought-wildfire,2009-06-01,2009-11-30,1.2,2009-08-31,2009,Western Wildfires
Southern Severe Weather,severe-storm,2016-03-17,2016-03-18,1.2,2016-03-17,2016,Southern Severe Weather
Southern Severe Weather,severe-storm,2008-04-09,2008-04-11,1.2,2008-04-10,2008,Southern Severe Weather
Rockies/ Central Tornadoes and Severe Weather,severe-storm,2016-05-21,2016-05-26,1.2,2016-05-23,2016,Rockies/Central Tornadoes and Severe Weather
Ohio Valley/ South Tornadoes,severe-storm,2011-04-19,2011-04-20,1.2,2011-04-19,2011,Ohio Valley/South Tornadoes
Ohio Valley Tornadoes,severe-storm,2013-11-17,2013-11-17,1.2,2013-11-17,2013,Ohio Valley Tornadoes
Midwest Tornadoes,severe-storm,2012-04-13,2012-04-14,1.2,2012-04-13,2012,Midwest Tornadoes
Colorado Hail Storm,severe-storm,2009-07-20,2009-07-20,1.2,2009-07-20,2009,Colorado Hail Storm
Central and Northeast Severe Weather,severe-storm,2015-06-21,2015-06-25,1.2,2015-06-23,2015,Central and Northeast Severe Weather
"Severe Storms, Flash Floods, Hail, Tornadoes",severe-storm,1981-05-05,1981-05-10,1.1,1981-05-07,1981,"Severe Storms, Flash Floods, Hail, Tornadoes"
Severe Storms and Hail,severe-storm,1984-06-13,1984-06-17,1.1,1984-06-15,1984,Severe Storms and Hail
Severe Storms,severe-storm,1989-05-01,1989-05-06,1.1,1989-05-03,1989,Severe Storms
Midwest/ Northeast Severe Storms and Flooding,severe-storm,2010-07-20,2010-07-23,1.1,2010-07-21,2010,Midwest/Northeast Severe Storms and Flooding
Texas Tornadoes,severe-storm,2012-04-02,2012-04-03,1.1,2012-04-02,2012,Texas Tornadoes
Southern Tornado Outbreak and Western Storms,severe-storm,2017-01-20,2017-01-22,1.1,2017-01-21,2017,Southern Tornado Outbreak and Western Storms
Southeast and Eastern Tornadoes,severe-storm,2016-02-22,2016-02-24,1.1,2016-02-23,2016,Southeast and Eastern Tornadoes
Midwest Severe Weather,severe-storm,2013-08-06,2013-08-07,1.1,2013-08-06,2013,Midwest Severe Weather
Michigan and Northeast Flooding,flooding,2014-08-11,2014-08-13,1.1,2014-08-12,2014,Michigan and Northeast Flooding
Illinois Flooding and Severe Weather,flooding,2013-04-16,2013-04-19,1.1,2013-04-17,2013,Illinois Flooding and Severe Weather
